English Word,Translation,Part-of-Speech
a,; a {f},"{art} /eɪ/ (an); {n} /eɪ/ (name of the letter A, a)"
Aachen,Aquisgrán,{prop} /ˈɑ.kən/ (city in North Rhine-Westphalia)
aah,"¡ay!, ¡ah!",{interj} (expressing amazement or surprise)
açai,asaí {m},{n} /ˈa.saj/
Aalenian,aaleniano; aaleniano {m},{adj} (of or pertaining to the Aalenian period); {prop} (subdivision of the Middle Jurassic period)
aalii,chirca {f},{n} /ɑˈliˌi/ (Dodonaea viscosa)
aardvark,cerdo hormiguero {m},{n} /ˈɑɹdˌvɑɹk/ (mammal)
aardwolf,"lobo de tierra {m}, proteles {m}",{n} /ˈɑɹd.ˌwʊlf/ (the mammal species Proteles cristatus)
Aaron,Aarón; Aarón,{prop} /ˈɜɹ.ən/ (biblical brother of Moses); {prop} (male given name)
abaca,abacá {m}; ,{n} /ˌæb.əˈkɑ/ (plant); {n} (fiber/fibre)
abacist,abacista {m} {f},{n} /əˈbɑ.kəst/ (One who uses an abacus.)
aback,hacia atrás; ,{adv} /əˈbæk/; {n} (abacus)
abacus,ábaco {m},{n} /əˈbɑk.əs/ (calculating frame)
Abadan,Abadán,{prop} /ˌɑ.bɑˈdɑn/ (city in Iran)
abaft,a popa; a popa,{adv} ((nautical) On the aft side); {prep} /ə'bɑft/ ((nautical) Behind; toward the stern relative to some other object or position; aft of)
abaisance,,{n} (obeisance)
abaka,; abacá {m},{n} (fiber/fibre); {n} (plant)
abalone,"oreja de mar {f}, abulón {m}, loco {m}",{n} /æb.əˈloʊ.ni/ (edible univalve mollusc)
abandon,"desenfreno {m}; renunciar, suspender; expulsar; abandonar; renunciar",{n} (a giving up to natural impulses); {v} /əˈbæn.dn̩/ (to give up); {v} (to cast out); {v} (to leave behind or desert); {v} (to relinquish a claim to property)
abandoned,"abandonado; desenfrenado, desinhibido","{adj} /əˈbæn.dn̩d/ (forsaken, deserted); {adj} (wicked, self-abandoned, given to sin)"
abandonment,abandono {m}; abandono {m},{n}; {n} /əˈbæn.dn̩.mn̩t/ (act of abandoning)
abase,"rebajar, degradar, humillar",{v} /ə.ˈbeɪs/ (to lower so as to hurt feelings)
abasement,"rebajamiento {m}, abatimiento {m}, humillación {m}",{n} /əˈbeɪs.mənt/ (the act of abasing)
abash,"confundir, avergonzar, abochornar","{v} /əˈbæʃ/ (to make ashamed, to embarrass)"
abashed,avergonzado,{adj} /əˈbæʃt/ (embarrassed)
abatage,,{n} (abattage)
abate,"reducir, suprimir, menguar; abatir, humillar",{v} /əˈbeɪt/ (to bring down or reduce to a lower state); {v} (to bring down a person physically or mentally)
abatement,disminución {f},{n} /əˈbeɪt.mənt/ (the act of abating or the state of being abated)
abattoir,matadero {m},{n} /ˈæb.əˌtwɑɹ/ (public slaughterhouse)
abbatial,abacial,{adj} /əˈbeɪ.ʃl̩/ (belonging to an abbey)
abbess,abadesa {f},{n} /ˈæb.ɪs/ (female superior of a nunnery)
abbey,abadía {f}; abadía {f},{n} /ˈæb.i/ (monastery headed by an abbot); {n} (church of a monastery)
abbot,abad {m},{n} /ˈæb.ət/ (superior or head of an abbey or monastery)
abbreviate,abreviar; simplificar,{v} /əˈbri.vi.eɪt/ (to make shorter); {v} (to reduce to lower terms)
abbreviated,abreviado,{adj} /əˈbri.viˌeɪ.tɪd/ (shortened)
abbreviation,abreviación {f}; abreviación {f},{n} (act or result of shortening or reducing); {n} /əˌbri.viˈeɪ.ʃn̩/ (shortened or contracted form of a word or phrase)
abbreviature,abreviatura,{n} /əˈbɹi.vi.əˌt͡ʃʊɹ/
ABC book,,{n} (primer)
abciximab,abciximab {m},{n} (antiplatelet drug)
abdest,abdesto {m},{n} (Islamic act of washing parts of the body)
abdicate,abdicar; abdicar; abdicar; abdicar,{v} /ˈæb.dɪˌkeɪt/ (surrender or relinquish); {v} (disinherit); {v} (reject); {v} (renounce a throne)
abdication,abdicación {f},"{n} /ˌæb.dəˈkeɪ.ʃən/ (the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder)"
abdomen,"abdomen {m}, vientre {m}",{n} /ˈæb.də.mən/ (belly)
abdominal,abdominal,{adj} /æbˈdɑm.ə.nl̩/ (of or pertaining to the abdomen)
abdominal fin,,{n} /æbˈdɑm.ə.nl̩ fɪn/ (pelvic fin)
abduce,abducir,"{v} /æb.ˈdus/ (transitive, obsolete: to draw or conduct away; to withdraw; to draw to a different part)"
abduct,"raptar, secuestrar; abducir",{v} /æbˈdʌkt/ (to take away); {v} (to draw away from its ordinary position)
abduction,"rapto {m}, secuestro {m}; rapto {m}; abducción {f}; abducción {f}",{n} /æbˈdʌk.ʃn̩/ (act of abducing or abducting); {n} (law: carrying off of a human being); {n} (logic: syllogism); {n} (physiology: movement separating limb from axis)
abductor,"raptor {m}, secuestrador {m}; abductor {m}",{n} /æbˈdʌk.tɚ/ (kidnapper); {n} (muscle)
abearance,,{n} /əˈbɜɹ.əns/ (behavior)
Abecedarian,abecedariano {m},{n} /ˌeɪ.biˌsiˈdæɹ.i.ən/ (member of a 16th-century sect)
abecedarium,,{n} /ˌeɪ.biˌsiˈdæɹ.i.əm/ (a book used to teach the alphabet)
abed,"en cama, acostado","{adv} /əˈbɛd/ (In bed, or on the bed)"
Abel,Abel {m}; Abel {m},{prop} /ˈeɪ.bəl/ (biblical character); {prop} (male given name)
Abelam,,{prop} /əˈbə.ləm/ (Ambulas)
Abelard,Abelardo,{prop} /ˈæb.ə.ˌlɑɹd/ (male given name)
abelian,"abeliano, conmutativo",{adj} /əˈbi.li.ən/ (math: of a group)
Abelian,abelonita {m} {f},{n} (member of a sect living like Abel)
Abelian algebra,,{n} (commutative algebra)
abelian group,grupo abeliano {m},{n} /əˈbi.li.ən ɡɹup/ (a group in which the group operation is commutative)
abelmosk,abelmosco {m},{n} /ˈeɪ.bəlˌmɑsk/ (evergreen shrub)
Abelonian,,{n} (Abelian)
aberrance,aberración {f},"{n} /ˈæ.bɛɹ.n̩s/ (state of being aberrant; a wandering from the right way; deviation from truth, rectitude)"
aberrant,"aberrante; anómalo, atípico; aberrante, anormal",{adj} (deviating from morality); {adj} (deviating from the ordinary or natural type; exceptional; abnormal); {adj} /əbˈɛɹ.n̩t/ (wandering; straying from the right way)
aberration,"aberración {f}; aberración {f}; aberración {f}; aberración {f}; aberración {f}, perturbación mental {f}; aberración {f}","{n}; {n} /ˌæb.əˈreɪ.ʃn̩/ (deviation); {n} (astronomy: small periodical change of position of heavenly bodies); {n} (optics: convergence to different foci); {n} (physiology: deviation from the normal state); {n} (zoology, botany: atypical development or structure)"
abessive case,caso abesivo {m},{n} (case used to express the lack of something)
abet,incitar; ayudar,"{v} /əˈbɛt/ (to assist or encourage in crime); {v} (to support, uphold, or aid)"
abettor,cómplice {m} {f},{n} /əˈbɛt.ɚ/ (accomplice)
abeyance,"expectativa {f}, esperanza {f}, suspenso {m}; suspensión {f}, desuso {m}, suspenso {m}",{n} /əˈbeɪ.ənts/ (expectancy; condition of being undetermined); {n} (suspension; temporary suppression)
abhor,"aborrecer, detestar, abominar",{v} /æbˈhɔr/ (to regard with horror or detestation)
abhorrence,"aborrecimiento {m}; aborrecimiento {m}, odio {m}",{n}; {n} /əbˈhɔɹ.n̩s/ (extreme aversion)
abhorrent,repugnante,{adj} /æbˈhɔɹ.ənt/
abide,"habitar, demorar; quedar, permanecer; tolerar, soportar",{v} /əˈbaɪd/ (to dwell); {v} (to endure); {v} (to tolerate)
abide by,"someterse; someterse a, adherirse a, observar",{v} (to accept a decision or law and act in accordance with it; to conform to; to acquiesce); {v} (to remain faithful to something or someone; to stand to; to adhere)
Abidjan,Abiyán,{prop} /ˌæb.ɪˈdʒɑn/ (the largest city of Côte d'Ivoire)
Abigail,Abigáil,{prop} /ˈab.ə.ɡeɪl/ (biblical wife of David)
abigeat,abigeato {m},{n} (theft of cattle)
ability,capacidad {f}; habilidad {f},{n} (a skill or competence); {n} /əˈbɪl.ə.ti/ (quality or state of being able)
abime,"abismo {m}, sima {f}",{n} (a bottomless or unfathomed depth)
Abimelech,Abimelech,{prop} /əˈbɪm.əˌlɛk/ (name of Philistine kings)
ab initio,"ab initio, desde el principio",{adv} /ˌæb ɪˈnɪʃ.i.oʊ/ (referring to the time from when a legal document comes into force)
abiogenesis,"autogénesis {f}, generación espontánea {f}",{n} /ˌeɪˌbai.oʊˈdʒɛn.ə.sɪs/ (abiogenesis)
abiotic,abiótico,{adj} /ˌeɪ.baɪˈɑt.ɪk/ (Nonliving)
a bird in the hand is worth two in the bush,más vale pájaro en mano que ciento volando (A bird in one hand is worth more than a hundred in flight),{proverb} (small but certain advantage is preferable)
a bit,,{adv} (a little)
a bit much,demasiado,{n} (More than is reasonable)
abiu,caimito {m},{n} (tree)
abjad,"abyad {m}, abjad",{n} (writing system)
abject,abatido,{adj} /ˈæb.d͡ʒɛkt/ (Sunk to a low condition; down in spirit or hope)
abjectly,abyectamente,"{adv} /æbˈd͡ʒɛkt.li/ (with great shame, desperately; in an abject fashion)"
abjure,abjurar,{v} /æbˈdʒʊɹ/
Abkhaz,"abjasio {m} {f}; abjaso {m}, abjasio {m}",{n} /ˈɑb.kɑz/ (person from Abkhazia); {prop} (a Northwest Caucasian language spoken in Abkhazia)
Abkhazia,Abjasia {f},{prop} /ɑbˈkɑ.zi.ə/ (a region/country in the Caucasus)
Abkhazian,; ; ,{adj} /æbˈkɑ.ʒən/ (Of or pertaining to Abkhazia); {n} (Abkhaz); {prop} (Abkhazian language)
ablation,ablación {f}; ablación {f},{n} (amputation); {n} /əˈbleɪ.ʃn̩/ (removal)
ablative,ablativo {m},{n} /ˈæb.lə.tɪv/ ((grammar) the ablative case)
ablative case,ablativo {m},"{n} (grammar case used to indicate movement away from something, removal, separation, source)"
ablaze,"ardiendo, en llamas; radiante, ardiente, resplandeciente; en llamas",{adj} /əˈbleɪz/ (on fire); {adj} (glowing); {adv} (on fire)
able,"; competente; capaz; diestro, hábil, capaz; ; ",{adj} /ˈeɪ.bl̩/ (healthy); {adj} (legally qualified); {adj} (permitted to); {adj} (skillful); {v} (enable); {v} (vouch for)
ablution,ablución {f}; ablución {f},{n}; {n} /əˈblu.ʃn̩/ (the act of washing or cleansing)
ably,"capaz, hábilmente",{adv} /ˈeɪ.bli/ (with great ability)
abnegate,abnegar; rechazar,"{v} /ˈæb.nɪ.ɡeɪt/ (to deny oneself something); {v} (to reject, to deny)"
abnegation,abnegación {f},{n} /ˈæb.nɪˈɡɘɪ.ʃn̩/ (denial; renunciation)
abnormal,anormal; anormal,{adj} /ˈæbˌnɔɹ.ml̩/ (not conforming to rule or system); {adj} (of or pertaining to behaviour that deviates from norms)
abnormality,anormalidad {f},{n} /ˌæbˌnɔɹˈmæl.ət.i/ (state of being abnormal)
abnormally,anormalmente,{adv} /æbˈnɔɹ.mə.li/ (In an abnormal manner)
aboard,a bordo; a bordo de,{adv} /əˈbɔrd/ (on board); {prep} (on board of)
abode,"morada {f}, residencia {f}, vivienda {f}",{n} /əˈbəʊd/ (slightly dated: residence)
abolish,"abolir, suprimir, abrogar, quitar; destrozar",{v} /əˈbɑl.ɪʃ/ (to do away with); {v} (to destroy)
abolishment,abolición {f},{n} /əˈbal.ɪʃ.mənt/ (The act of abolishing)
abolition,abolición {f},{n} /ˌæb.əˈlɪʃ.n̩/ (act of abolishing)
abominable,"abominable, aborrecible",{adj} /əˈbɑm.ə.nə.bl̩/ (hateful; detestable; loathsome)
abominable snowman,abominable hombre de las nieves {m},{n} /əˈbɑm.ə.nə.bl̩ ˈsnoʊ.mæn/ (manlike or apelike animal said to exist in the Himalayas)
abominably,abominablemente,{adv} /əˈbɑm.ə.nə.bli/ (in an abominable manner)
abominate,"abominar, detestar","{v} /əˈbɒm.əˌnəɪt/ (to feel disgust towards, to hate in the highest degree)"
abomination,"abominación {f}, maldad {f}",{n} /əˌbɑm.əˈneɪ.ʃn̩/ (something abominable)
aboriginal,"aborigen, indígena",{adj} /ˌæb.əˈɹɪd͡ʒ.n̩.l̩/ (original; indigenous)
Aboriginal,"aborigen, aboriginal; aborigen",{n} /ˌæb.əˈɹɪd͡ʒ.n̩.l̩/ (original inhabitant of Australia); {n} (original inhabitant of any land)
aborigine,"aborigen {m} {f}, indígena {m} {f}",{n} /ˌæb.əˈɹɪdʒ.ə.ni/ (aboriginal inhabitant of a country)
abort,"aborto, {m}; abortar",{n} /əˈbɔɹt/ (A miscarriage); {v} (to miscarry)
aborted,abortado,{adj}
abortifacient,abortivo; abortivo {m},{adj} /əˌbɔɹ.təˈfeɪ.ʃn̩t/ (producing miscarriage); {n} (agent that causes premature delivery)
abortion,"aborto {m}; aborto {m}, aborto involuntario; aborto {m}, aborto inducido; aborto {m}, engendro {m}; aborto {m}","{n} (act of inducing abortion); {n} /əˈbɔɹ.ʃn̩/ (miscarriage); {n} (induced abortion); {n} (something ugly); {n} (the act of aborting a project, etc)"
abortional,abortivo,{adj} /əˈbɔɹ.ʃn̩.l̩/ (pertaining to abortion)
abortive,"fracasado, frustrado, malogrado; abortivo",{adj} /əˈbɔɹ.tɪv/ (coming to naught; fruitless); {n}
abound,"abundar, ser abundante; abundar, ser abundante",{v} /əˈbaʊnd/ (to be plentiful); {v} (to be copiously supplied)
about,"alrededor; alrededor; alrededor; alrededor; sobre, acerca de, de; alrededor de; sobre, acerca de; cerca de; cerca de; a punto de; encima de",{adv} (here and there); {adv} (in circuit); {adv} (nearly); {adv} (on all sides); {prep} (concerning); {prep} /əˈbaʊt/ (around); {prep} (in concern with); {prep} (in the immediate neighborhood of); {prep} (near); {prep} (on the point or verge of); {prep} (over or upon different parts of)
about time,"es hora, al fin; ya era hora",{adv} (close to the right time); {adv} (far past the desired time)
about to,a punto de,{phrase} (indicating imminence)
above,"arriba; arriba; arriba, sobre, encima; sobre",{adv} (earlier in order); {adv} (in a higher place); {prep} /əˈbʌv/ (in or to a higher place); {prep} (more)
above all,sobre todo,{adv} (of prime importance)
aboveboard,"legítimo, sincero",{adj}
above measure,,{prep phrase} (beyond measure)
above the curve,adelantado de su época {m},{prep phrase}
above the law,por encima de la ley,{prep phrase} (idiomatic)
abrade,"escoriar, raspar",{v} /əˈbɹeɪd/ ((transitive) to rub or wear off; to waste or wear away by friction)
Abraham,"Abraham, Abrahán; Abraham, Abrahán",{prop} /ˈeɪ.bɹəˌhæm/ (prophet in the Old Testament); {prop} (male given name)
Abram,Abram,{prop} /ˈeɪ.bɹəm/ (Old Testament patriarch)
abrasion,"abrasión {f}; erosión {f}; rasguño {m}, raspadura {f}",{n}; {n} (geology: effect of mechanical erosion of rock); {n} (medicine: superficial wound)
abrasive,"abrasivo; brusco, irritante",{adj} /əˈbɹeɪ.sɪv/ (producing abrasion; rough); {adj} (rough and coarse in manner or disposition)
abreast,al corriente; de lado a lado,{adv} /əˈbɹɛst/ (informed); {adv} (side by side)
abridge,"abreviar, condensar, compendiar; privar; abreviar, resumir",{v} /əˈbrɪd͡ʒ/ (to make shorter); {v} (to deprive); {v} (to shorten or contract by using fewer words)
abridged,abreviado,"{adj} (cut or shortened, especially of a literary work)"
abridgment,"abreviación, compendio {m}",{n} /əˈbɹɪd͡ʒ.mn̩t/
abroad,"por todas partes, en todas direciones; en el extranjero, en el exterior; al exterior",{adv} /əˈbɹɔd/ (at large; widely; broadly; over a wide space); {adv} (in foreign countries); {adv} (without a certain confine; outside the house)
abrogate,"abrogar, derogar",{v} /ˈæb.ɹəˌɡət/ (to annul by an authoritative act)
abrupt,"abrupto; abrupto, brusco, cortante; abrupto, brusco; brusco, abrupto; repentino, súbito",{adj} (botany: truncated); {adj} (curt in manner); {adj} /əˈbɹʌpt/ (extremely steep); {adj} (having sudden transitions from one state to next); {adj} (without notice)
abruptly,abruptamente; precipitadamente,{adv} /əˈbɹʌp.li/ (in an abrupt manner); {adv} (precipitously)
Absalom,Absalón; Absalón,{prop} /ˈæb.sə.ləm/ (Biblical character); {prop} (male given name)
abscess,"absceso {m}, flemón {m} (gums)",{n} /ˈæbˌsɛs/ (cavity filled with pus)
abscissa,abscisa {f},{n} (first of two coordinates)
abscission,abscisión {f},{n} /æbˈsɪ.ʃn̩/ (act of cutting off)
abscond,"fugarse, evadirse; huir, fugarse",{v} /æbˈskɑnd/ (to depart secretly); {v} (to hide (something))
absence,"ausencia {f}; ausencia {f}; ausencia {f}, falta {f}",{n} /ˈæb.sn̩s/ (state of being absent); {n} (inattention to things present); {n} (want; lack; destitution; withdrawal)
absent,"ausente; ausente, distraído; ausente; ausentarse",{adj} /ˈæb.sn̩t/ (being away from a place); {adj} (inattentive); {adj} (not existing); {v} /æbˈsɛnt/ (to withhold from being present)
absentee,ausente {m} {f},{n} /ˌæb.sn̩ˈti/ (A person who is absent)
absinthe,"ajenjo {m}, absintio {m}; ajenjo {m}",{n} /ˈæb.sɪnθ/ (liquor); {n}
absinthin,absintina {f},{n} /ˈæbˌsɪn.θɪn/ (principle compound found in wormwood)
absolute,"absoluto; completo, pleno",{adj} /ˈæb.səˌlut/ (loosed from any limitation or condition); {adj} (complete in itself)
absolutely,"totalmente, absolutamente",{adv} /ˌæb.səˈlut.li/ (in an absolute manner)
absolute monarchy,monarquía absoluta {f},{n} (rule)
absolute pitch,,{n} /ˈæb.səˌlut pɪt͡ʃ/ (ability to identify and reproduce a tone)
absolute zero,cero absoluto {m},{n} /ˈæb.səˌlut ˈzi.ɹoʊ/ (coldest possible temperature)
absolution,absolución {f},"{n} /ˌæb.səˈlu.ʃn̩/ (absolving or setting free from guilt, sin or penalty; forgiveness of an offense)"
absolutist,absolutista,{adj} /ˈæb.səˌlu.tɪst/ (of or pertaining to absolutism)
absolutive case,caso absolutivo {m},{n} (case used to indicate the patient or experiencer of a verb’s action)
absolve,"absolver, eximir, dispensar, exculpar, exonerar; absolver, exculpar; absolver",{v}; {v} /æbˈzɑlv/ (set free); {v} (pronounce free or give absolution)
absorb,absorber; absorber,{v}; {v} /æbˈsɔrb/ (to suck up or drink in )
absorbed,"absorto, ensimismado",{adj} /æbˈsɔɹbd/ (fully occupied with one's thoughts; engrossed)
absorbency,absorbencia {f},{n} /æb.sɔɹ.bn̩.si/ (absorbency)
absorbent,absorbente; absorbente {m},{adj} /æbˈsɔr.bn̩t/ (absorbing); {n} (anything which absorbs)
absorbing,absorbente,{adj} /æbˈzɔr.bɪŋ/ (engrossing)
absorption,absorción {f}; concentración {f},{n} /æbˈsɔɹp.ʃn̩/ (act or process of absorbing or sucking in anything); {n} (entire occupation of the mind)
abstain,abstenerse; retener; abstenerse,"{v} /əbˈsteɪn/ (refrain from); {v} (hinder, withhold); {v} (refrain from voting)"
abstainer,abstemio {m},{n} /æbˈsteɪ.nɚ/ (one who abstains)
abstemious,"sobrio, abstemio; abstemio; sobrio {m}; abstemio","{adj} /æbˈsti.mi.əs/ (abstaining from wine); {adj} (marked by, or spent in, abstinence); {adj} (sparing in diet); {adj} (sparingly used; used with temperance or moderation)"
abstention,abstención {f},{n} /æbˈstɛn.ʃn̩/ (the act of abstaining)
abstergent,abstergente,{n} /æbˈstɝ.d͡ʒn̩t/ (a substance used in cleansing)
abstersion,abstersión {f},{n} /æbˈstɝ.ʒn̩/ (the act of cleaning)
abstinence,"vigilia {f}, abstinencia {f}; abstinencia del alcohol; vigilia {f}","{n} /ˈæb.stə.nn̩s/ (the act or practice of abstaining); {n} (specifically, abstinence from alcohol); {n} (the practice of self-denial)"
abstinent,abstinente,{adj} /ˈæb.stɪ.nn̩t/ (refraining from indulgence)
abstract,"abstracto; resumen {m}; extracto {m}; abstraer, extraer; abstraer",{adj} /æbˈstrækt/; {n} /ˈæbˌstrækt/ (an abrigement or summary); {n} (an extract of a vegetable substance); {v}; {v} /ˈæb.strækt/ (to separate; to remove; to take away)
abstraction,abstracción {f},{n} /æbˈstɹæk.ʃn̩/ (act of abstracting)
abstractionism,abstraccionismo {m},{n} /æbˈstɹæk.ʃn̩ˌɪz.m̩/ (abstract art)
abstractionist,abstraccionista {m} {f},{n} /æbˈstɹæk.ʃən.əst/ (someone who paints or creates abstract art)
abstract noun,sustantivo abstracto {m},{n} /ˈæbˌstrækt naʊn/ (a noun that denotes an abstract concept)
abstract of title,resumen de título {m},{n} /ˈtaɪ.tl̩/ (epitome of the evidences of ownership)
abstruse,abstruso {m},{adj} /æbˈstrus/ (difficult to comprehend)
absurd,absurdo,{adj} /æbˈsɝd/ (contrary to reason or propriety)
absurdity,absurdo {m},{n} /æbˈsɝd.ɪ.ti/ (the quality of being absurd)
Abu Dhabi,Abu Dhabi,{prop} /ˈɑ.bu ˈdɑ.bi/ (capital of UAE)
abundance,abundancia,{n} /əˈbʌn.dn̩s/ (ample sufficiency)
abundant,"abundante, copioso, cuantioso",{adj} /əˈbʌn.dn̩t/ (fully sufficient; plentiful)
abundantly,abundantemente,{adv} /əˈbʌn.dn̩t.li/ (in an abundant manner)
abundant number,número abundante {m},{n} /əˈbʌn.dn̩t ˈnʌm.bɚ/ (abundant number)
Abundius,Abundio {m},{prop} (male given name)
abuse,abuso {m}; abuso {m}; abuso {m}; abuso sexual {m}; abusar,{n}; {n} /əˈbjus/ (improper usage); {n} (physical maltreatment); {n} (sexual assault); {v} /əˈbjuz/
abuse of discretion,abuso de discreción {m},{n}
abuser,abusador {m},{n} /əˈbju.zɚ/ (one who abuses)
abusio,,{n} (catachresis)
abusive,abusivo,{adj} /əˈbju.sɪv/ (practicing abuse)
abut,bordear,{v} /əˈbʌt/ (to border on)
abutment,estribo {m},{n} /əˈbʌt.mn̩t/ (state of abutting)
abysm,abismo {m},{n} /əˈbɪz.m̩/ (abyss)
abysmal,"abismal, insondable; atroz, desastroso","{adj} /əˈbɪz.ml̩/ (pertaining to, or resembling an abyss; bottomless; unending; profound); {adj} (extremely bad)"
abyss,"abismo {m}, sima {f}",{n} /əˈbɪs/ (a bottomless or unfathomed depth)
abyssal,abisal,{adj} /əˈbɪs.l̩/ (belonging to the ocean depths)
Abyssinia,Abisinia {f},{prop} /ˌæb.ɪˈsɪn.i.ə/ (historical name of Ethiopia)
Abyssinian,"abisinio; abisinio {m}, abisinia {f}",{adj} /ˌæb.ɪˈsɪn.i.ən/ (of or pertaining to Abyssinia); {n} (a native of Abyssinia)
abzyme,abzima {f},{n} (antibody with catalytic properties)
AC,"CA, corriente alterna",{initialism} (alternating current)
acacia,acacia {f},{n} /əˈkeɪ.ʃə/ (shrub or tree)
academic,"académico; teórico; académico {m}, escolar {m}; académico {m}, escolar {m}","{adj} /ˌæk.əˈdɛm.ɪk/ (belonging to an academy or other higher institution of learning); {adj} (having no practical importance); {n}; {n} (member of an academy, college, or university)"
academically,académicamente,{adv} /ˌæk.əˈdɛm.ɪk.ə.li/ (in an academic style or way)
academician,"académico {m}; académico {m}, académica {f}, academista {m} {f}",{n}; {n} /ˌæk.ə.dəˈmɪ.ʃn̩/ (member of an academy)
academy,academia {f}; academia {f}; cantera {f},{n}; {n} /əˈkæd.ə.mi/ (learned society); {n} (specialized school)
Acadian,acadio,{adj} /əˈkeɪ.di.n̩/ (Of or pertaining to Acadia)
acalycine,acalicino,{adj} /ˌeiˈkeɪ.lə.saɪn/ (without a calyx)
acanthaceous,acantáceo; acantáceo,{adj} /ˌæk.n̩ˈθeɪ.ʃəs/ (armed with prickles); {adj} (pertaining to the acanthus family)
acanthocyte,acantocito {m},{n} /\əˈkæn.θoʊˌsaɪt/ (spiny cell)
acanthus,acanto {m}; acanto {m},{n} /əˈkæn.θəs/ (plant); {n} (ornament)
a cappella,a cappella,{adv} /ˌɑ kə.ˈpɛl.ə/ (performed by a choir with no instrumental accompaniment)
acarbose,acarbosa {f},{n} /eɪ 'kɑr boʊs/ (antidiabetic drug)
acarpous,acarpo,{adj} /eɪ.ˈkɑɹ.pəs/ (not producing fruit)
acaulescent,acaule,{adj} /ˌæk.ɔ.ˈlɛs.ənt/ (having no stem)
accede,"subir, acceder; acceder, consentir",{v} /æk.ˈsid/ (to enter upon an office or dignity); {v} (to agree to a proposal or view)
accedie,,{n} (acedia)
