Spanish Word,Translation,Prevalence,Gender,Part-of-Speech
a,to,1.0,,ADP
aah,aah,0.36,,INTJ
aampliarla,"amplify it, To expand it",0.36,,VERB
abacavir,abacavir,0.35,M,NOUN
abadía,abbey,0.74,F,NOUN
abaje,"down, abaje",0.35,M,NOUN
abajo,"bottom, below",0.98,,ADV
abalance,balance,0.35,M,NOUN
abalanzarse,"pounce, to rush",0.56,,VERB
abalde,"bucket, abalde",0.35,F,NOUN
aballar,"abalar, aballar",0.35,,VERB
abandera,"flag, abandons, to register",0.41,F,NOUN
abanderado,"standard bearer, flag bearer, standard-bearer",0.54,,ADJ
abandere,"flag, abandon",0.35,F,NOUN
abandonadisimo,abandoned,0.35,,DET
abandonado,"abandoned, deserted",0.94,,ADJ
abandonar,"waiver., to leave, abandonment, leave",0.96,,VERB
abandonarla,"abandon it, abandon her",0.35,,VERB
abandonarlas,"to leave, abandon them",0.41,,VERB
abandonarlo,"to leave, abandon it, leave him",0.82,,VERB
abandonarlos,"to leave, abandon them",0.41,,VERB
abandonarme,abandon me,0.35,,VERB
abandonarnos,"to leave, abandon us",0.53,,VERB
abandonarse,"to leave, abandon oneself, abandon",0.53,,VERB
abandonarte,"desert you, to leave, abandon you",0.53,,VERB
abandono,abandonment,0.91,M,NOUN
abandonándolas,abandoning them,0.35,,VERB
abandonándolo,"abandoning him, abandoning it",0.35,,VERB
abanga,abanga,0.35,,PROPN
abaratamiento,"cheapening, downgrading, reduction",0.72,M,NOUN
abaratar,"lower, to reduce, cheapen",0.8,,VERB
abaratarse,"get cheaper, go cheap",0.35,,VERB
abarcar,"to cover, encompass",0.84,,VERB
abarcarlo,"to cover, cover it, embrace it",0.61,,VERB
abarrotado,"crammed, crowded",0.79,,ADJ
abarrotar,"cram, overcrowd",0.34,,VERB
abastecedor,"provider, supplier",0.34,,PROPN
abastecer,"supply, to supply",0.78,,VERB
abastecerme,"supply me with, stock up",0.34,,VERB
abastecernos,"stock up, supply us",0.34,,VERB
abastecerse,"stocking up, stock up, to supply",0.54,,VERB
abastecido,"stocked, supplied, to supply",0.4,,ADJ
abastecimiento,"catering, supply",0.72,M,NOUN
abasto,supply,0.54,M,NOUN
abasí,"abbasid, abbasi",0.74,,ADJ
abatido,"depressed, dejected, downcast",0.86,,ADJ
abatimiento,"depression, dejection, dejting",0.54,M,NOUN
abatir,"download, bring down, to shoot down",0.72,,VERB
abatirla,"bring it down, bring her down",0.34,,VERB
abatirlo,"bring it down, knock him down",0.34,,VERB
abatirlos,"bring them down, shoot them down",0.34,,VERB
abatiste,"abatiste, you shot down",0.34,,PROPN
abatí,abatí,0.34,,VERB
abaya,abaya,0.34,,PROPN
abb,abb,0.34,,PROPN
abbas,abbas,0.34,M,NOUN
abc,abc,0.88,,PROPN
abdel,"abdel, grandfather",0.61,,ADJ
abdelaziz,abdelaziz,0.34,F,NOUN
abdelnur,abdelnur,0.34,,ADJ
abdicación,abdication,0.7,F,NOUN
abdicar,"to abdicate, abdicate",0.65,,VERB
abdo,abdo,0.67,M,NOUN
abducido,"limited, abducted",0.53,,ADJ
abdul,"abdul, birch",0.53,,PROPN
abe,"abe, abs",0.61,,PROPN
abecedario,alphabet,0.34,,ADJ
abed,"abed, birch",0.34,M,NOUN
abedul,birch,0.76,M,NOUN
abeja,bee,0.76,,PROPN
abejorro,bumblebee,0.34,M,NOUN
aber,"open, aber, yesterday",0.61,,AUX
aberracion,aberration,0.34,,PROPN
aberración,aberration,0.85,F,NOUN
abertis,"abertis, open house",0.69,,PROPN
abertura,opening,0.92,F,NOUN
abeto,"fir tree, fir, spruce",0.74,M,NOUN
abhaya,"piece of jewelry, abhaya",0.53,,PROPN
abhidharmico,abhidharmic,0.72,,ADJ
abhijñā,"abhijñā, abhijna",0.53,,PROPN
abiertamente,openly,0.94,,ADV
abierto,"open, opened, .",0.98,,ADJ
abiove,"abiove, pig iron",0.69,M,NOUN
abir,open,0.34,F,NOUN
abisinia,abyssinia,0.33,,PROPN
abismado,"engrossed, engulfed",0.53,,ADJ
abismo,abyss,0.95,M,NOUN
abituales,"abituals, usual",0.33,,VERB
abiword,abiword,0.33,M,NOUN
abjuración,abjuration,0.33,F,NOUN
abjurar,abjure,0.33,,VERB
abk,abk,0.33,,PROPN
ablandado,"softening, to soften, softened",0.6,,ADJ
ablandar,"soften, to soften",0.53,,VERB
abnegación,"abnegation, self-denial",0.65,F,NOUN
abnegado,"selfless, dedicated",0.33,,ADJ
abocado,doomed,0.65,,ADJ
abocar,"abocar, address",0.33,,VERB
abocarse,"focus, go to",0.33,,VERB
abochornado,"ashamed, embarrassed",0.33,,ADJ
abofetear,slap,0.33,,VERB
abofeteándola,slapping her,0.33,,PROPN
abogacía,"advocacy, law",0.53,F,NOUN
abogada,"lawyer, employment lawyer, a lawyer",0.88,F,NOUN
abogado,"lawyer, attorney, abogado (lawyer)",0.96,M,NOUN
abogar,"to defend sb, plead, advocate",0.77,,VERB
abolicionismo,abolitionism,0.33,M,NOUN
abolición,abolition,0.88,F,NOUN
abolido,"to abolish, abolished",0.82,,ADJ
abolirla,abolish it,0.33,,VERB
abollado,"to dent, dented",0.6,,ADJ
abolladura,dent,0.33,F,NOUN
abombado,"dopey, bulging",0.52,,ADJ
abominación,abomination,0.33,F,NOUN
abominar,abhor,0.33,,VERB
abonado,subscriber,0.89,,ADJ
abonar,"pay, to fertilize, credit",0.74,,VERB
abonarse,subscribe,0.33,,VERB
abono,fertilizer,0.84,M,NOUN
abordado,"to tackle, addressed, boarded",0.98,,ADJ
abordaje,approach,0.85,M,NOUN
abordar,"to tackle, approach, address",0.93,,VERB
abordarlo,"to tackle, address it, tackle it",0.52,,VERB
abordarse,"to agree, be addressed",0.6,,VERB
aborrecido,"loathed, hated, abhorred",0.65,,ADJ
aborregamiento,"abhorrence, aborting",0.33,M,NOUN
aborregar,"abort, abhor",0.33,,VERB
aborta,"abort, aborts",0.33,,PROPN
abortado,"aborted, to have miscarriage",0.52,,ADJ
abortar,"abort, to have miscarriage",0.74,,VERB
aborto,"miscarriage, abortion",0.92,M,NOUN
aboslutamente,"aboslutamente, absolutely",0.33,,ADV
abotargado,"dull, bloated",0.33,,ADJ
abotonarse,button up,0.33,,VERB
abovedado,vaulted,0.74,,ADJ
abraham,abraham,0.86,M,NOUN
abrahamson,abrahamson,0.52,,PROPN
abrahámico,"Abrahamic, abrahamic",0.33,,ADJ
abramson,abramson,0.33,,PROPN
abrasado,"to burn, scorched",0.6,,ADJ
abrasador,"burning, scorching",0.72,,ADJ
abrazado,"hugged, to hug, embraced",0.8,,ADJ
abrazar,"to hug, embrace, hug",0.88,,VERB
abrazarla,"embrace her, to hug, hug her",0.66,,VERB
abrazarlas,"embrace them, hug them",0.33,,VERB
abrazarle,"embrace him, hug him",0.33,,VERB
abrazarlo,"to hug, embrace it, hug him",0.69,,VERB
abrazarme,"embrace me, hold me, to hug",0.52,,VERB
abrazarnos,"to hug, embrace each other, hug each other",0.52,,VERB
abrazarse,"to hug, embrace each other, embrace",0.65,,VERB
abrazo,hug,0.94,M,NOUN
abreviación,abbreviation,0.52,F,NOUN
abreviado,"abbreviated, to cut short",0.76,,ADJ
abreviar,"abbreviate, to cut short",0.72,,VERB
abrigado,sheltered,0.81,,ADJ
abrigar,shelter,0.6,,VERB
abrigarle,"keep him warm, shelter him",0.33,,VERB
abrigarlo,shelter him,0.52,,VERB
abrigarse,"go to, wrap",0.33,,VERB
abrigo,coat,0.9,M,NOUN
abrigó,"harbored, coat",0.52,M,NOUN
abrileño,"april, abrileño",0.33,,ADJ
abrillantador,"rinse aid, brightener",0.33,,ADJ
abrillantar,polish,0.33,,VERB
abrir,"open, to open",0.97,,VERB
abrirla,"to open, open it",0.8,,VERB
abrirlapremium,"abrirlapremium, openlapremium",0.33,,PROPN
abrirlas,"to open, open them",0.52,,VERB
abrirle,"open, to open",0.6,,VERB
abrirles,"open, open them",0.33,,VERB
abrirlo,"open, to open, open it",0.79,,VERB
abrirlos,"to open, open them",0.74,,VERB
abrirme,"open, open myself, to open",0.69,,VERB
abrirse,"open, to open",0.93,,VERB
abrirte,"open, open you up",0.33,,VERB
abrochar,fasten,0.32,,VERB
abrumador,overwhelming,0.74,,ADJ
abrumadoramente,overwhelmingly,0.6,,ADV
abrumar,overwhelm,0.32,,VERB
abrumarlo,"overwhelm him, overwhelm it",0.32,,VERB
abruptamente,abruptly,0.91,,ADV
abrupto,"abrupt, steep",0.78,,ADJ
abrį,"Aprį, i opened",0.32,M,NOUN
abs,abs,0.72,,PROPN
absceso,abscess,0.32,M,NOUN
absolución,"acquittal, absolution",0.65,F,NOUN
absolutamente,absolutely,0.97,,ADV
absolutismo,absolutism,0.82,M,NOUN
absolutización,absolutization,0.32,F,NOUN
absoluto,absolute,0.98,,ADJ
absorbencia,absorbency,0.32,F,NOUN
absorbente,absorbent,0.52,F,NOUN
absorber,"to absorb, absorb",0.82,,VERB
absorberla,"to absorb, absorb it",0.52,,VERB
absorberlo,absorb it,0.32,,VERB
absorbido,"to absorb, absorbed",0.74,M,NOUN
absorcion,absorption,0.32,,PROPN
absorción,absorption,0.78,F,NOUN
absorto,"engrossed, absorbed",0.78,,ADJ
absorver,"to absorb, absorb",0.32,,VERB
abstencion,abstention,0.6,,PROPN
abstención,"abstention, abstain",0.86,F,NOUN
abstenemos,we abstain,0.32,,AUX
abstenernos,"abstain, refrain, to abstain",0.6,,VERB
abstenerse,"please abstain, to abstain, to refrain",0.84,,VERB
abstenerte,"refrain, to abstain",0.52,,VERB
abstengo,"abstengo, i abstain, teetotal",0.6,,AUX
abstenido,abstained,0.32,,ADJ
abstinencia,abstinence,0.79,F,NOUN
abstr,"abstr, fir, abstract",0.65,,ADJ
abstracción,abstraction,0.81,F,NOUN
abstract,abstract,0.83,,PROPN
abstracta,abstract,0.84,,PROPN
abstractamente,abstractly,0.32,,ADV
abstracto,abstract,0.87,,ADJ
abstraer,"to abstract, abstract",0.65,,VERB
abstraerlo,abstract it,0.32,,VERB
abstrusa,abstruse,0.32,,VERB
absurdamente,absurdly,0.84,,ADV
absurdidad,absurdity,0.32,F,NOUN
absurdo,"nonsense, absurd",0.97,,ADJ
abu,"grandma, abu, abu dhabi",0.69,,SPACE
abuela,"grandmother, great-aunt",0.95,F,NOUN
